Line Item	Price	Unit	HSN	Applicable Site(s)	Site Count	Source PO/Invoice Count	Example Source File	App Display Name
GARBAGE BAG BLACK ROLL 19*21 (FS)	45	ROLL		Mahindra Finance - Delhi	1	3	FCGC- Delhi.pdf	GARBAGE BAG BLACK ROLL 19*21 (FS)
GARBAGE EX LARGE	58.2	ROLL		SS Plaza	1	1	Stepier - Banglore.pdf	GARBAGE EX LARGE
GARBAGE EX LARGE	60	ROLL		AMR Tech Park	1	1	Stepier - Banglore.pdf	GARBAGE EX LARGE
GARBAGE EX LARGE [NOS] | HSN 39232100	58.2	ROLL		SS Plaza	1	1	Stepier - Banglore.pdf	GARBAGE EX LARGE [NOS] | HSN 39232100
GLASS FIBER	70	PCS	6307	D WING	1	1	Hk Mumbai/PARSVATECH JULY26 D WING.pdf	GLASS FIBER
GLASS SQUZEE	350	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	GLASS SQUZEE
GLUE PAD FOR RAT [NOS] | HSN 3926	65	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	GLUE PAD FOR RAT [NOS] | HSN 3926
GODRAJ AIR POKET	52	PCS	3307	3I SAKINAKA, MyGate	2	2	Hk Mumbai/PARSVATECH JULY26 MYGATE.pdf	GODRAJ AIR POKET — ₹52
GODRAJ AIR SPRAY 300 M.L	93	BOTT	3307	3I SAKINAKA, CHARNI ROAD, D WING, ETPL THANE, MyGate	5	5	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	GODRAJ AIR SPRAY 300 M.L — ₹93
GODREJ AER MATIC MACHINE [NOS] | HSN 3307	450	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	GODREJ AER MATIC MACHINE [NOS] | HSN 3307
Garbage Bag Medium	29.1	ROLL		SS Plaza	1	2	Stepier - Banglore.pdf	Garbage Bag Medium
Garbage Bag Medium	30	ROLL		AMR Tech Park	1	1	Stepier - Banglore.pdf	Garbage Bag Medium
Garbage Bag Medium [PKT] | HSN 3923	29.1	ROLL		SS Plaza	1	1	Stepier - Banglore.pdf	Garbage Bag Medium [PKT] | HSN 3923
Garbage Bag Small	30	ROLL		AMR Tech Park	1	1	Stepier - Banglore.pdf	Garbage Bag Small
Garbage Bag XL	58.2	ROLL		SS Plaza	1	1	Stepier - Banglore.pdf	Garbage Bag XL
Glass Wiper Set (FS)	245	SET		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	Glass Wiper Set (FS)
Glue Pad for Rat	65	PCS		SS Plaza	1	2	Stepier - Banglore.pdf	Glue Pad for Rat
Godrej Aer Matic Machine	450	PCS		AMR Tech Park, SS Plaza	2	3	Stepier - Banglore.pdf	Godrej Aer Matic Machine — ₹450
Godrej Airmatic Refill	184.3	BOTT		SS Plaza	1	1	Stepier - Banglore.pdf	Godrej Airmatic Refill
Green Scrubber	12	PCS		AMR Tech Park, SS Plaza	2	3	Stepier - Banglore.pdf	Green Scrubber — ₹12
Green Tea Honey and Lemon Dips	5	PKT		SS Plaza	1	1	Kaffine kingdom - Banglre.pdf	Green Tea Honey and Lemon Dips
Green Tea Tulasi Ginger Turmeric Dips	5	PKT		SS Plaza	1	1	Kaffine kingdom - Banglre.pdf	Green Tea Tulasi Ginger Turmeric Dips
Green Tea Tulasi Pomegranate Dips	5	PKT		SS Plaza	1	1	Kaffine kingdom - Banglre.pdf	Green Tea Tulasi Pomegranate Dips
